"","fecha_v","edad_final","TipoAtencion","sexo","Sum"
"116",2020-04-03,90,"Consulta","mujer",4
"117",2020-04-03,91,"Consulta","hombre",1
"118",2020-04-03,91,"Consulta","mujer",2
"119",2020-04-03,92,"Consulta","mujer",3
"120",2020-04-03,93,"Consulta","mujer",2
"121",2020-04-03,94,"Consulta","mujer",4
"122",2020-04-03,97,"Consulta","mujer",1
"123",2020-04-04,20,"Consulta","hombre",1
"124",2020-04-04,58,"Consulta","mujer",1
"125",2020-04-04,83,"Consulta","mujer",1
"126",2020-04-05,18,"Consulta","hombre",1
"127",2020-04-05,19,"Consulta","hombre",1
"128",2020-04-05,31,"Consulta","hombre",1
"129",2020-04-05,31,"Urgencia","hombre",1
"130",2020-04-05,32,"Consulta","mujer",1
"131",2020-04-05,61,"Consulta","mujer",1
"132",2020-04-05,61,"Urgencia","mujer",1
"133",2020-04-06,22,"Consulta","hombre",1
"134",2020-04-06,26,"Consulta","hombre",1
"135",2020-04-06,32,"Consulta","hombre",1
"136",2020-04-06,32,"Consulta","mujer",1
"137",2020-04-06,34,"Consulta","hombre",1
"138",2020-04-06,38,"Consulta","mujer",1
"139",2020-04-06,51,"Consulta","hombre",1
"140",2020-04-06,59,"Consulta","mujer",1
"141",2020-04-06,61,"Consulta","hombre",1
"142",2020-04-06,61,"Consulta","mujer",2
"143",2020-04-06,62,"Consulta","hombre",1
"144",2020-04-06,62,"Consulta","mujer",1
"145",2020-04-06,63,"Consulta","hombre",2
"146",2020-04-06,63,"Consulta","mujer",4
"147",2020-04-06,64,"Consulta","hombre",3
"148",2020-04-06,64,"Consulta","mujer",2
"149",2020-04-06,65,"Consulta","mujer",1
"150",2020-04-06,66,"Consulta","mujer",2
"151",2020-04-06,67,"Consulta","hombre",2
"152",2020-04-06,67,"Consulta","mujer",1
"153",2020-04-06,68,"Consulta","hombre",1
"154",2020-04-06,68,"Consulta","mujer",2
"155",2020-04-06,69,"Consulta","hombre",2
"156",2020-04-06,70,"Consulta","mujer",3
"157",2020-04-06,72,"Consulta","hombre",2
"158",2020-04-06,73,"Consulta","mujer",2
"159",2020-04-06,74,"Consulta","hombre",1
"160",2020-04-06,74,"Consulta","mujer",3
"161",2020-04-06,76,"Consulta","hombre",1
"162",2020-04-06,76,"Consulta","mujer",4
"163",2020-04-06,77,"Consulta","mujer",1
"164",2020-04-06,78,"Consulta","mujer",3
"165",2020-04-06,79,"Consulta","mujer",1
"166",2020-04-06,80,"Consulta","hombre",1
"167",2020-04-06,80,"Consulta","mujer",1
"168",2020-04-06,81,"Consulta","hombre",2
"169",2020-04-06,82,"Consulta","hombre",2
"170",2020-04-06,83,"Consulta","hombre",2
"171",2020-04-06,84,"Consulta","mujer",2
"172",2020-04-06,85,"Consulta","hombre",1
"173",2020-04-06,86,"Consulta","hombre",1
"174",2020-04-06,87,"Consulta","mujer",1
"175",2020-04-06,88,"Consulta","hombre",1
"176",2020-04-06,90,"Consulta","hombre",2
"177",2020-04-06,91,"Consulta","mujer",1
"178",2020-04-06,99,"Consulta","hombre",1
"179",2020-04-07,14,"Consulta","hombre",1
"180",2020-04-07,36,"Consulta","hombre",1
"181",2020-04-07,38,"Consulta","mujer",2
"182",2020-04-07,51,"Consulta","hombre",1
"183",2020-04-07,56,"Consulta","mujer",1
"184",2020-04-07,57,"Consulta","mujer",1
"185",2020-04-07,60,"Consulta","hombre",1
"186",2020-04-07,62,"Consulta","hombre",1
"187",2020-04-07,62,"Consulta","mujer",3
"188",2020-04-07,63,"Consulta","mujer",2
"189",2020-04-07,65,"Consulta","mujer",2
"190",2020-04-07,66,"Consulta","hombre",2
"191",2020-04-07,66,"Urgencia","hombre",1
"192",2020-04-07,67,"Consulta","hombre",1
"193",2020-04-07,67,"Consulta","mujer",1
"194",2020-04-07,68,"Consulta","mujer",1
"195",2020-04-07,69,"Consulta","mujer",2
"196",2020-04-07,70,"Consulta","hombre",1
"197",2020-04-07,70,"Consulta","mujer",3
"198",2020-04-07,71,"Consulta","mujer",2
"199",2020-04-07,72,"Consulta","hombre",2
"200",2020-04-07,73,"Consulta","mujer",1
"201",2020-04-07,74,"Consulta","hombre",1
"202",2020-04-07,76,"Consulta","hombre",2
"203",2020-04-07,76,"Consulta","mujer",2
"204",2020-04-07,81,"Consulta","mujer",2
"205",2020-04-07,84,"Consulta","mujer",1
"206",2020-04-07,91,"Consulta","hombre",1
"207",2020-04-08,17,"Consulta","mujer",1
"208",2020-04-08,25,"Consulta","mujer",1
"209",2020-04-08,28,"Consulta","mujer",1
"210",2020-04-08,29,"Consulta","hombre",1
"211",2020-04-08,38,"Consulta","mujer",1
"212",2020-04-08,40,"Consulta","hombre",1
"213",2020-04-08,40,"Urgencia","hombre",1
"214",2020-04-08,60,"Consulta","hombre",1
"215",2020-04-08,60,"Consulta","mujer",1
"216",2020-04-08,61,"Consulta","hombre",15
"217",2020-04-08,61,"Consulta","mujer",23
"218",2020-04-08,62,"Consulta","hombre",17
"219",2020-04-08,62,"Consulta","mujer",32
"220",2020-04-08,63,"Consulta","hombre",15
"221",2020-04-08,63,"Consulta","mujer",24
"222",2020-04-08,64,"Consulta","hombre",9
"223",2020-04-08,64,"Consulta","mujer",26
"224",2020-04-08,65,"Consulta","hombre",10
"225",2020-04-08,65,"Consulta","mujer",34
"226",2020-04-08,66,"Consulta","hombre",22
"227",2020-04-08,66,"Consulta","mujer",31
"228",2020-04-08,66,"Hospitalizacion","hombre",1
"229",2020-04-08,67,"Consulta","hombre",9
"230",2020-04-08,67,"Consulta","mujer",26
"231",2020-04-08,68,"Consulta","hombre",20
"232",2020-04-08,68,"Consulta","mujer",28
"233",2020-04-08,69,"Consulta","hombre",8
"234",2020-04-08,69,"Consulta","mujer",28
"235",2020-04-08,70,"Consulta","hombre",12
"236",2020-04-08,70,"Consulta","mujer",37
"237",2020-04-08,71,"Consulta","hombre",12
"238",2020-04-08,71,"Consulta","mujer",22
"239",2020-04-08,72,"Consulta","hombre",15
"240",2020-04-08,72,"Consulta","mujer",30
"241",2020-04-08,73,"Consulta","hombre",13
"242",2020-04-08,73,"Consulta","mujer",18
"243",2020-04-08,74,"Consulta","hombre",12
"244",2020-04-08,74,"Consulta","mujer",21
"245",2020-04-08,75,"Consulta","hombre",15
"246",2020-04-08,75,"Consulta","mujer",20
"247",2020-04-08,76,"Consulta","hombre",7
"248",2020-04-08,76,"Consulta","mujer",19
"249",2020-04-08,77,"Consulta","hombre",14
"250",2020-04-08,77,"Consulta","mujer",17
"251",2020-04-08,78,"Consulta","hombre",11
"252",2020-04-08,78,"Consulta","mujer",13
"253",2020-04-08,79,"Consulta","hombre",14
"254",2020-04-08,79,"Consulta","mujer",5
"255",2020-04-08,80,"Consulta","hombre",7
"256",2020-04-08,80,"Consulta","mujer",20
"257",2020-04-08,81,"Consulta","hombre",5
"258",2020-04-08,81,"Consulta","mujer",16
"259",2020-04-08,82,"Consulta","hombre",10
"260",2020-04-08,82,"Consulta","mujer",13
"261",2020-04-08,83,"Consulta","hombre",8
"262",2020-04-08,83,"Consulta","mujer",6
"263",2020-04-08,84,"Consulta","hombre",13
"264",2020-04-08,84,"Consulta","mujer",14
"265",2020-04-08,85,"Consulta","hombre",6
"266",2020-04-08,85,"Consulta","mujer",12
"267",2020-04-08,86,"Consulta","hombre",5
"268",2020-04-08,86,"Consulta","mujer",10
"269",2020-04-08,87,"Consulta","hombre",2
"270",2020-04-08,87,"Consulta","mujer",8
"271",2020-04-08,88,"Consulta","hombre",3
"272",2020-04-08,88,"Consulta","mujer",9
"273",2020-04-08,89,"Consulta","hombre",3
"274",2020-04-08,89,"Consulta","mujer",3
"275",2020-04-08,90,"Consulta","hombre",2
"276",2020-04-08,90,"Consulta","mujer",7
"277",2020-04-08,91,"Consulta","hombre",2
"278",2020-04-08,91,"Consulta","mujer",5
"279",2020-04-08,92,"Consulta","hombre",2
"280",2020-04-08,92,"Consulta","mujer",3
"281",2020-04-08,93,"Consulta","hombre",2
"282",2020-04-08,93,"Consulta","mujer",2
"283",2020-04-08,94,"Consulta","mujer",3
"284",2020-04-08,95,"Consulta","hombre",1
"285",2020-04-08,95,"Consulta","mujer",1
"286",2020-04-08,96,"Consulta","hombre",1
"287",2020-04-08,96,"Consulta","mujer",2
"288",2020-04-08,98,"Consulta","mujer",1
"289",2020-04-08,99,"Consulta","mujer",1
"290",2020-04-09,17,"Consulta","mujer",1
"291",2020-04-09,26,"Consulta","hombre",2
"292",2020-04-09,27,"Consulta","hombre",1
"293",2020-04-09,32,"Consulta","hombre",1
"294",2020-04-09,34,"Consulta","mujer",1
"295",2020-04-09,39,"Consulta","hombre",1
"296",2020-04-09,50,"Consulta","mujer",1
"297",2020-04-09,56,"Consulta","mujer",1
"298",2020-04-09,66,"Consulta","mujer",1
"299",2020-04-10,22,"Consulta","mujer",1
"300",2020-04-10,27,"Consulta","hombre",1
"301",2020-04-10,31,"Consulta","hombre",1
"302",2020-04-10,49,"Urgencia","mujer",1
"303",2020-04-10,50,"Consulta","mujer",1
"304",2020-04-10,60,"Urgencia","mujer",1
"305",2020-04-10,72,"Consulta","mujer",1
"306",2020-04-11,22,"Consulta","mujer",1
"307",2020-04-11,24,"Consulta","mujer",1
"308",2020-04-11,39,"Urgencia","hombre",1
"309",2020-04-11,61,"Consulta","mujer",1
"310",2020-04-11,76,"Consulta","mujer",1
"311",2020-04-12,21,"Consulta","mujer",1
"312",2020-04-12,31,"Consulta","hombre",1
"313",2020-04-12,32,"Consulta","hombre",2
"314",2020-04-12,36,"Consulta","hombre",1
"315",2020-04-12,36,"Hospitalizacion","hombre",1
"316",2020-04-12,37,"Consulta","mujer",1
"317",2020-04-12,63,"Consulta","mujer",1
"318",2020-04-12,80,"Consulta","mujer",1
"319",2020-04-13,19,"Consulta","mujer",1
"320",2020-04-13,22,"Consulta","mujer",3
"321",2020-04-13,28,"Consulta","mujer",1
"322",2020-04-13,29,"Consulta","hombre",2
"323",2020-04-13,29,"Consulta","mujer",1
"324",2020-04-13,29,"Urgencia","hombre",1
"325",2020-04-13,31,"Consulta","hombre",1
"326",2020-04-13,32,"Hospitalizacion","hombre",1
"327",2020-04-13,35,"Consulta","mujer",1
"328",2020-04-13,51,"Consulta","hombre",1
"329",2020-04-13,53,"Consulta","hombre",1
"330",2020-04-13,60,"Consulta","mujer",1
"331",2020-04-13,61,"Consulta","hombre",1
"332",2020-04-13,61,"Consulta","mujer",3
"333",2020-04-13,62,"Consulta","hombre",1
"334",2020-04-13,62,"Consulta","mujer",6
"335",2020-04-13,63,"Consulta","hombre",2
"336",2020-04-13,63,"Consulta","mujer",8
"337",2020-04-13,64,"Consulta","hombre",1
"338",2020-04-13,64,"Consulta","mujer",6
"339",2020-04-13,65,"Consulta","hombre",2
"340",2020-04-13,65,"Consulta","mujer",8
"341",2020-04-13,66,"Consulta","hombre",1
"342",2020-04-13,66,"Consulta","mujer",2
"343",2020-04-13,67,"Consulta","hombre",2
"344",2020-04-13,67,"Consulta","mujer",5
"345",2020-04-13,68,"Consulta","hombre",1
"346",2020-04-13,68,"Consulta","mujer",4
"347",2020-04-13,69,"Consulta","mujer",3
"348",2020-04-13,70,"Consulta","hombre",1
"349",2020-04-13,70,"Consulta","mujer",3
"350",2020-04-13,71,"Consulta","hombre",3
"351",2020-04-13,71,"Consulta","mujer",2
"352",2020-04-13,72,"Consulta","hombre",1
"353",2020-04-13,72,"Consulta","mujer",2
"354",2020-04-13,73,"Consulta","hombre",2
"355",2020-04-13,73,"Consulta","mujer",3
"356",2020-04-13,74,"Consulta","hombre",3
"357",2020-04-13,74,"Consulta","mujer",6
"358",2020-04-13,75,"Consulta","hombre",2
"359",2020-04-13,75,"Consulta","mujer",3
"360",2020-04-13,76,"Consulta","hombre",2
"361",2020-04-13,76,"Consulta","mujer",2
"362",2020-04-13,77,"Consulta","hombre",1
"363",2020-04-13,77,"Consulta","mujer",5
"364",2020-04-13,78,"Consulta","hombre",1
"365",2020-04-13,79,"Consulta","hombre",1
"366",2020-04-13,79,"Consulta","mujer",4
"367",2020-04-13,80,"Consulta","hombre",1
"368",2020-04-13,80,"Consulta","mujer",3
"369",2020-04-13,81,"Consulta","hombre",1
"370",2020-04-13,81,"Consulta","mujer",5
"371",2020-04-13,83,"Consulta","hombre",1
"372",2020-04-13,83,"Consulta","mujer",3
"373",2020-04-13,84,"Consulta","mujer",1
"374",2020-04-13,85,"Consulta","hombre",1
"375",2020-04-13,85,"Consulta","mujer",4
"376",2020-04-13,86,"Consulta","mujer",2
"377",2020-04-13,87,"Consulta","hombre",1
"378",2020-04-13,87,"Consulta","mujer",2
"379",2020-04-13,88,"Consulta","mujer",2
"380",2020-04-13,89,"Consulta","hombre",1
"381",2020-04-13,89,"Consulta","mujer",2
"382",2020-04-13,90,"Consulta","mujer",1
"383",2020-04-13,92,"Consulta","hombre",1
"384",2020-04-13,96,"Consulta","hombre",1
"385",2020-04-14,15,"Consulta","mujer",1
"386",2020-04-14,17,"Consulta","mujer",1
"387",2020-04-14,20,"Consulta","hombre",1
"388",2020-04-14,20,"Urgencia","hombre",1
"389",2020-04-14,23,"Consulta","mujer",1
"390",2020-04-14,27,"Consulta","mujer",1
"391",2020-04-14,29,"Consulta","hombre",1
"392",2020-04-14,30,"Consulta","hombre",1
"393",2020-04-14,30,"Urgencia","hombre",1
"394",2020-04-14,31,"Consulta","mujer",2
"395",2020-04-14,34,"Consulta","hombre",1
"396",2020-04-14,35,"Consulta","mujer",1
"397",2020-04-14,36,"Consulta","hombre",1
"398",2020-04-14,38,"Consulta","hombre",1
"399",2020-04-14,42,"Consulta","mujer",1
"400",2020-04-14,45,"Consulta","hombre",1
"401",2020-04-14,46,"Consulta","mujer",1
"402",2020-04-14,47,"Urgencia","mujer",1
"403",2020-04-14,49,"Consulta","hombre",2
"404",2020-04-14,49,"Consulta","mujer",1
"405",2020-04-14,50,"Consulta","hombre",1
"406",2020-04-14,52,"Consulta","hombre",1
"407",2020-04-14,54,"Consulta","mujer",1
"408",2020-04-14,54,"Urgencia","mujer",1
"409",2020-04-14,56,"Consulta","mujer",1
"410",2020-04-14,61,"Consulta","mujer",3
"411",2020-04-14,62,"Consulta","hombre",2
"412",2020-04-14,63,"Consulta","mujer",1
"413",2020-04-14,64,"Consulta","mujer",4
"414",2020-04-14,65,"Consulta","mujer",2
"415",2020-04-14,66,"Consulta","hombre",1
"416",2020-04-14,66,"Consulta","mujer",1
"417",2020-04-14,68,"Consulta","hombre",3
"418",2020-04-14,68,"Consulta","mujer",1
"419",2020-04-14,69,"Consulta","mujer",3
"420",2020-04-14,71,"Consulta","mujer",1
"421",2020-04-14,72,"Consulta","mujer",3
"422",2020-04-14,74,"Consulta","hombre",1
"423",2020-04-14,75,"Consulta","hombre",1
"424",2020-04-14,75,"Consulta","mujer",1
"425",2020-04-14,76,"Consulta","hombre",1
"426",2020-04-14,76,"Consulta","mujer",2
"427",2020-04-14,76,"Hospitalizacion","mujer",1
"428",2020-04-14,77,"Consulta","hombre",1
"429",2020-04-14,78,"Consulta","hombre",1
"430",2020-04-14,79,"Consulta","hombre",1
"431",2020-04-14,79,"Consulta","mujer",1
"432",2020-04-14,80,"Consulta","mujer",2
"433",2020-04-14,81,"Consulta","hombre",1
"434",2020-04-14,81,"Consulta","mujer",1
"435",2020-04-14,83,"Consulta","hombre",1
"436",2020-04-14,83,"Hospitalizacion","mujer",1
"437",2020-04-14,84,"Consulta","hombre",1
"438",2020-04-14,85,"Consulta","hombre",1
"439",2020-04-14,85,"Consulta","mujer",1
"440",2020-04-14,86,"Consulta","hombre",1
"441",2020-04-14,87,"Consulta","mujer",1
"442",2020-04-14,89,"Consulta","mujer",3
"443",2020-04-14,90,"Consulta","hombre",1
"444",2020-04-14,90,"Consulta","mujer",1
"445",2020-04-15,3,"Consulta","hombre",1
"446",2020-04-15,15,"Consulta","hombre",1
"447",2020-04-15,23,"Consulta","mujer",1
"448",2020-04-15,31,"Consulta","mujer",1
"449",2020-04-15,32,"Consulta","hombre",1
"450",2020-04-15,34,"Consulta","hombre",1
"451",2020-04-15,34,"Consulta","mujer",1
"452",2020-04-15,36,"Urgencia","hombre",1
"453",2020-04-15,38,"Consulta","hombre",1
"454",2020-04-15,42,"Consulta","mujer",1
"455",2020-04-15,44,"Consulta","hombre",1
"456",2020-04-15,49,"Consulta","hombre",1
"457",2020-04-15,51,"Hospitalizacion","mujer",1
"458",2020-04-15,56,"Consulta","mujer",1
"459",2020-04-15,56,"Hospitalizacion","mujer",1
"460",2020-04-15,61,"Consulta","hombre",2
"461",2020-04-15,61,"Consulta","mujer",1
"462",2020-04-15,62,"Consulta","hombre",1
"463",2020-04-15,62,"Consulta","mujer",1
"464",2020-04-15,63,"Consulta","mujer",4
"465",2020-04-15,64,"Consulta","hombre",1
"466",2020-04-15,64,"Consulta","mujer",1
"467",2020-04-15,65,"Consulta","hombre",1
"468",2020-04-15,65,"Consulta","mujer",1
"469",2020-04-15,66,"Consulta","mujer",1
"470",2020-04-15,67,"Consulta","hombre",2
"471",2020-04-15,67,"Consulta","mujer",1
"472",2020-04-15,68,"Consulta","hombre",3
"473",2020-04-15,68,"Consulta","mujer",4
"474",2020-04-15,69,"Consulta","mujer",1
"475",2020-04-15,71,"Consulta","mujer",1
"476",2020-04-15,73,"Consulta","mujer",1
"477",2020-04-15,74,"Consulta","mujer",1
"478",2020-04-15,76,"Consulta","mujer",1
"479",2020-04-15,78,"Consulta","hombre",1
"480",2020-04-15,78,"Consulta","mujer",2
"481",2020-04-15,79,"Consulta","hombre",1
"482",2020-04-15,81,"Consulta","hombre",1
"483",2020-04-15,81,"Consulta","mujer",1
"484",2020-04-15,83,"Hospitalizacion","mujer",1
"485",2020-04-15,85,"Consulta","mujer",3
"486",2020-04-15,87,"Consulta","mujer",1
"487",2020-04-15,88,"Consulta","mujer",1
"488",2020-04-15,93,"Consulta","hombre",1
"489",2020-04-15,95,"Consulta","mujer",1
"490",2020-04-16,17,"Consulta","mujer",1
"491",2020-04-16,17,"Urgencia","mujer",1
"492",2020-04-16,23,"Consulta","mujer",1
"493",2020-04-16,24,"Consulta","mujer",1
"494",2020-04-16,33,"Consulta","hombre",1
"495",2020-04-16,34,"Consulta","hombre",1
"496",2020-04-16,34,"Consulta","mujer",1
"497",2020-04-16,35,"Consulta","mujer",1
"498",2020-04-16,38,"Consulta","hombre",1
"499",2020-04-16,38,"Consulta","mujer",1
"500",2020-04-16,39,"Consulta","hombre",1
"501",2020-04-16,42,"Consulta","hombre",1
"502",2020-04-16,42,"Consulta","mujer",1
"503",2020-04-16,48,"Consulta","hombre",1
"504",2020-04-16,49,"Consulta","hombre",1
"505",2020-04-16,54,"Consulta","hombre",1
"506",2020-04-16,54,"Urgencia","hombre",1
"507",2020-04-16,59,"Consulta","hombre",1
"508",2020-04-16,62,"Consulta","hombre",1
"509",2020-04-16,68,"Consulta","hombre",1
"510",2020-04-16,71,"Consulta","hombre",1
"511",2020-04-16,76,"Consulta","mujer",1
"512",2020-04-16,77,"Consulta","hombre",1
"513",2020-04-16,80,"Consulta","hombre",2
"514",2020-04-16,81,"Consulta","hombre",1
"515",2020-04-16,86,"Consulta","hombre",1
"516",2020-04-16,86,"Consulta","mujer",1
"517",2020-04-17,5,"Consulta","hombre",1
"518",2020-04-17,15,"Consulta","hombre",1
"519",2020-04-17,17,"Consulta","mujer",1
"520",2020-04-17,22,"Consulta","mujer",1
"521",2020-04-17,23,"Consulta","mujer",1
"522",2020-04-17,24,"Consulta","mujer",1
"523",2020-04-17,27,"Consulta","mujer",1
"524",2020-04-17,34,"Consulta","hombre",1
"525",2020-04-17,34,"Consulta","mujer",1
"526",2020-04-17,37,"Consulta","hombre",1
"527",2020-04-17,37,"Consulta","mujer",1
"528",2020-04-17,38,"Consulta","hombre",2
"529",2020-04-17,38,"Consulta","mujer",1
"530",2020-04-17,41,"Consulta","mujer",1
"531",2020-04-17,42,"Consulta","mujer",1
"532",2020-04-17,48,"Consulta","hombre",1
"533",2020-04-17,49,"Consulta","hombre",1
"534",2020-04-17,51,"Consulta","mujer",1
"535",2020-04-17,54,"Consulta","hombre",1
"536",2020-04-17,55,"Consulta","hombre",1
"537",2020-04-17,59,"Consulta","hombre",1
"538",2020-04-17,61,"Hospitalizacion","hombre",1
"539",2020-04-17,63,"Consulta","hombre",1
"540",2020-04-17,66,"Consulta","hombre",1
"541",2020-04-17,68,"Consulta","mujer",1
"542",2020-04-17,70,"Consulta","hombre",2
"543",2020-04-17,76,"Consulta","mujer",2
"544",2020-04-17,82,"Consulta","hombre",1
"545",2020-04-17,86,"Hospitalizacion","hombre",1
"546",2020-04-18,17,"Consulta","mujer",1
"547",2020-04-18,21,"Consulta","mujer",1
"548",2020-04-18,24,"Consulta","hombre",1
"549",2020-04-18,25,"Consulta","mujer",1
"550",2020-04-18,33,"Urgencia","hombre",1
"551",2020-04-18,39,"Consulta","mujer",1
"552",2020-04-18,58,"Consulta","hombre",1
"553",2020-04-18,59,"Consulta","hombre",1
"554",2020-04-18,60,"Consulta","hombre",1
"555",2020-04-18,61,"Consulta","hombre",1
"556",2020-04-18,61,"Consulta","mujer",3
"557",2020-04-18,62,"Consulta","hombre",1
"558",2020-04-18,62,"Consulta","mujer",1
"559",2020-04-18,65,"Consulta","mujer",1
"560",2020-04-18,66,"Consulta","hombre",1
"561",2020-04-18,66,"Consulta","mujer",1
"562",2020-04-18,67,"Consulta","mujer",2
"563",2020-04-18,68,"Consulta","hombre",1
"564",2020-04-18,68,"Consulta","mujer",1
"565",2020-04-18,70,"Consulta","hombre",1
"566",2020-04-18,70,"Consulta","mujer",1
"567",2020-04-18,72,"Consulta","hombre",1
"568",2020-04-18,74,"Consulta","hombre",1
"569",2020-04-18,74,"Consulta","mujer",1
"570",2020-04-18,76,"Consulta","hombre",2
"571",2020-04-18,78,"Consulta","hombre",1
"572",2020-04-18,80,"Consulta","mujer",2
"573",2020-04-18,83,"Consulta","hombre",1
"574",2020-04-18,84,"Consulta","mujer",2
"575",2020-04-18,85,"Consulta","mujer",1
"576",2020-04-18,90,"Consulta","hombre",1
"577",2020-04-18,90,"Consulta","mujer",1
"578",2020-04-19,17,"Consulta","mujer",1
